name,group,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Albania,Europe,5,0,5,5,5,5,5,7,7,7,9,9,9,9,9,9,9
Algeria,Africa,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2,2,2
Argentina,South America,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8
Armenia,Asia,3,-6,-6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Australia,Oceania,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Azerbaijan,Asia,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Bangladesh,Asia,6,6,6,6,6,6,6,6,6,6,6,6,-6,-6,5,5,5
Belarus,Europe,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Brazil,South America,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Bulgaria,Europe,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9
Burkina Faso,Africa,-5,-5,-4,-4,-4,-3,0,0,0,0,0,0,0,0,0,0,0
Canada,North America,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Chile,South America,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10
China,Asia,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Colombia,South America,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Croatia,Europe,-5,-5,-5,-5,1,8,8,8,8,8,9,9,9,9,9,9,9
Cyprus,Asia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Czech Rep.,Europe,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8
Dominican Rep.,North America,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ecuador,South America,9,9,8,9,9,6,6,6,6,6,6,7,5,5,5,5,5
Egypt,Africa,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-3,-3,-3,-3,-3,-3,-2
Estonia,Europe,6,6,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9
Ethiopia,Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finland,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
France,Europe,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Georgia,Asia,5,5,5,5,5,5,5,5,5,7,7,7,6,6,6,6,6
Germany,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ghana,Africa,-1,2,2,2,2,2,6,6,6,8,8,8,8,8,8,8,8
Guatemala,South America,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Haiti,North America,7,7,7,7,2,-2,-2,-2,-2,0,3,5,5,5,5,0,0
Hungary,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
India,Asia,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Indonesia,Asia,-7,-7,-7,-5,6,6,6,6,6,8,8,8,8,8,8,8,8
Iran,Asia,-6,-6,3,3,3,3,3,3,3,-6,-6,-6,-6,-6,-7,-7,-7
Iraq,Asia,-9,-9,-9,-9,-9,-9,-9,-9,-7,-6,-5,-3,-1,0,1,3,3
Italy,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Japan,Asia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Jordan,Asia,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3
Kazakhstan,Asia,-4,-4,-4,-4,-4,-4,-4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
South Korea,Asia,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Kyrgyzstan,Asia,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,3,3,1,4,7
Latvia,Europe,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Lebanon,Asia,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7
Libya,Africa,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0
Lithuania,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Macedonia,Europe,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9
Malaysia,Asia,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6
Mali,Africa,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
Mexico,North America,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8
Moldova,Europe,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
Montenegro,South America,-7,-7,-6,-6,-6,7,7,7,6,6,6,9,9,9,9,9,9
Morocco,Africa,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4
Netherlands,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
New Zealand,Oceania,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nigeria,Africa,-6,-6,-6,-1,4,4,4,4,4,4,4,4,4,4,4,4,4
Norway,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pakistan,Asia,8,8,7,7,-6,-6,-6,-5,-5,-5,-5,-5,2,5,5,6,6
Peru,South America,1,1,1,1,1,5,9,9,9,9,9,9,9,9,9,9,9
Philippines,Asia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Poland,Europe,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
Puerto Rico,North America,,,,,,,,,,,,,,,,,
Romania,Europe,5,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9
Russia,Europe,3,3,3,3,3,6,6,6,6,6,6,6,4,4,4,4,4
Rwanda,Africa,-6,-6,-6,-6,-6,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-4,-4
Serbia,Europe,-7,-7,-6,-6,-6,7,7,7,6,6,6,8,8,8,8,8,8
Singapore,Asia,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Slovenia,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
South Africa,Africa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Spain,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sweden,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Switzerland,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Taiwan,Asia,7,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10
Tanzania,Africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Thailand,Asia,9,9,9,9,9,9,9,9,9,9,9,-5,-1,4,4,4,7
Trinidad and Tobago,North America,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tunisia,Africa,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,
Turkey,Asia,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9
Uganda,Africa,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1
Ukraine,Europe,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,6,6
United Kingdom,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
United States,North America,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Uruguay,South America,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Uzbekistan,Asia,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Venezuela,South America,8,8,8,8,7,7,6,6,6,6,6,5,5,5,-3,-3,-3
Vietnam,Asia,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Yemen,Asia,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Zambia,Africa,6,1,1,1,1,1,5,5,5,5,5,5,5,7,7,7,7
Zimbabwe,Africa,-6,-6,-6,-6,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1
