name,group,Labour Unions,The Press,Womens Organizations,The Police,The Parliament,The Church,Political Parties,The Armed Forces,Television,The Government,The Civil Services
Albania,Europe,0.1589,0.1727,0.3675,0.7297,0.6067,0.5364,0.2289,0.5809,0.2422,0.4133,0.2341
Azerbaijan,Europe,0.2972,0.3163,0.1949,0.4111,0.7389,0.7222,0.5353,0.5582,0.4179,0.9227,0.4349
Argentina,South America,0.0981,0.3333,0.4070,0.2256,0.1600,0.5025,0.0844,0.2328,0.2722,0.2667,0.0787
Australia,Oceania,0.2555,0.1673,0.4345,0.7558,0.3060,0.4242,0.1591,0.6755,0.2576,0.2635,0.3820
Bangladesh,Africa,0.4642,0.7094,0.7660,0.3816,0.8434,0.9848,0.7081,0.5678,0.6685,0.8075,0.8025
Armenia,Asia,0.1929,0.3416,0.2924,0.3191,0.3024,0.6796,0.1583,0.7195,0.4545,0.4239,0.3656
Brazil,South America,0.5517,0.6127,0.6889,0.4526,0.3360,0.7450,0.3256,0.7140,0.5711,0.4869,0.5907
Bulgaria,Europe,0.3427,0.4669,0.4696,0.5122,0.4533,0.5756,0.2924,0.8133,0.6862,0.5989,0.4805
Belarus,Europe,0.4495,0.4138,0.6967,0.3774,0.2986,0.7396,0.1601,0.7288,0.4785,0.5118,0.5135
Chile,South America,0.4591,0.5156,0.5130,0.5055,0.3874,0.7998,0.2523,0.5574,0.5895,0.5264,0.4617
Taiwan,Asia,0.5776,0.4094,0.7608,0.5943,0.4637,0.6241,0.3559,0.7623,0.5067,0.6973,0.5963
Colombia,South America,0.3454,0.4545,0.5224,0.4975,0.2482,0.8195,0.1729,0.6120,0.4980,0.3638,0.3227
Croatia,Europe,0.2383,0.2249,0.2894,0.6061,0.4181,0.5736,0.2245,0.7856,0.2202,0.5212,0.3790
Czech Rep.,Europe,0.4202,0.4343,0.4114,0.4429,0.2045,0.3333,0.1488,0.4378,0.5005,0.3060,0.3916
Dominican Rep.,North America,0.1919,0.3278,0.5194,0.1277,0.1235,0.7214,0.0866,0.2979,0.3791,0.1259,0.0981
Estonia,Europe,0.4481,0.5481,0.6248,0.5097,0.4374,0.6028,0.2325,0.4795,0.6778,0.5015,0.6088
Finland,Europe,0.5094,0.3033,0.2928,0.8567,0.3129,0.5554,0.1351,0.8172,0.5030,0.3154,0.3415
Georgia,Asia,0.2829,0.5996,0.4078,0.3786,0.4060,0.8023,0.3375,0.5217,0.6077,0.5107,0.5641
Germany,Europe,0.3753,0.1747,0.5275,0.6129,0.2297,0.2784,0.1211,0.4532,0.2178,0.2053,0.4471
Hungary,Europe,0.2672,0.3105,0.3499,0.5539,0.3900,0.4395,0.2030,0.5789,0.4055,0.4371,0.5225
India,Asia,0.5449,0.6315,0.5923,0.4108,0.6536,0.7275,0.4702,0.8439,0.5667,0.5819,0.6963
Japan,Asia,0.4818,0.7374,0.4490,0.7842,0.2633,0.1341,0.1866,0.6419,0.7028,0.3222,0.3788
South Korea,Asia,0.5567,0.6473,0.7715,0.4744,0.3116,0.4220,0.2490,0.7061,0.6124,0.4398,0.7791
Latvia,Europe,0.3677,0.4954,0.4931,0.3105,0.2497,0.6419,0.1028,0.3095,0.5753,0.3832,0.4414
Lithuania,Europe,0.2774,0.7081,0.4128,0.2082,0.2655,0.6897,0.1439,0.4083,0.7643,0.3628,0.4098
Mexico,North America,0.3663,0.5146,0.4361,0.3330,0.4322,0.7618,0.3357,0.5940,0.5020,0.4183,0.4138
Moldova,Europe,0.3546,0.3486,0.4905,0.3354,0.4086,0.7661,0.1758,0.5690,0.4535,0.4379,0.5431
New Zealand,Oceania,0.2258,0.3368,0.3787,0.8056,0.1509,0.3989,0.0598,0.6153,0.3771,0.1608,0.2897
Nigeria,Africa,0.4797,0.5639,0.5319,0.2955,0.2662,0.8292,0.2560,0.4486,0.5878,0.2806,0.5855
Norway,Europe,0.6625,0.3260,0.4318,0.8556,0.6953,0.5358,0.3276,0.7296,0.4905,0.6616,0.5096
Peru,South America,0.1570,0.2974,0.3701,0.2228,0.1506,0.7085,0.0646,0.4193,0.3495,0.3915,0.1103
Philippines,Asia,0.5546,0.7189,0.7359,0.5545,0.5996,0.9409,0.4521,0.6857,0.7022,0.5869,0.6748
Poland,Europe,0.2990,0.4629,0.5420,0.5322,0.3452,0.6738,0.1279,0.7956,0.4694,0.3897,0.3510
Puerto Rico,North America,0.4093,0.4975,0.5713,0.5631,0.2990,0.8581,0.2065,0.6378,0.3887,0.5259,0.5650
Romania,Europe,0.3240,0.3586,0.4190,0.3938,0.1934,0.8048,0.1393,0.8203,0.4891,0.2168,0.2813
Russia,Europe,0.4334,0.3967,0.7045,0.3035,0.2261,0.6596,0.1945,0.6863,0.4669,0.2591,0.4863
Slovakia,Europe,0.3521,0.4220,0.4987,0.3959,0.3072,0.5877,0.2252,0.6830,0.5025,0.4318,0.4023
Slovenia,Europe,0.2522,0.4306,0.4433,0.4738,0.2476,0.3772,0.1366,0.4471,0.5301,0.4053,0.2889
South Africa,Africa,0.4361,0.5398,0.5662,0.7475,0.6878,0.8462,0.4691,0.5681,0.6678,0.6889,0.5860
Spain,Europe,0.3220,0.4299,0.4359,0.6211,0.3660,0.4894,0.1865,0.4345,0.3939,0.3100,0.4179
Sweden,Europe,0.4449,0.2870,0.5107,0.8109,0.4462,0.4944,0.2850,0.5444,0.4888,0.4233,0.4520
Switzerland,Europe,0.3740,0.2215,0.3855,0.6859,0.4386,0.3891,0.2728,0.4990,0.3128,0.5223,0.4578
Turkey,Asia,0.5397,0.4938,0.7581,0.7248,0.5255,0.7009,0.2942,0.9422,0.5021,0.5180,0.6807
Ukraine,Europe,0.3882,0.4351,0.6204,0.3747,0.3779,0.6704,0.2024,0.6801,0.4784,0.4369,0.4277
Macedonia,Europe,0.1473,0.1765,0.2941,0.2666,0.1572,0.3120,0.1141,0.3868,0.2177,0.2009,0.1924
United States,North America,0.3444,0.2743,0.5304,0.7121,0.3038,0.7594,0.2123,0.8641,0.2935,0.3056,0.5186
Uruguay,Europe,0.3866,0.6080,0.4910,0.5320,0.4180,0.5580,0.3650,0.3810,0.5696,0.4164,0.4484
Venezuela,South America,0.2721,0.5898,0.4334,0.3003,0.2337,0.7432,0.1457,0.5974,0.5308,0.2669,0.3114
Serbia,Europe,0.2532,0.2262,0.3436,0.4454,0.3198,0.3826,0.1734,0.6163,0.2518,0.3541,0.3267
Montenegro,Europe,0.3464,0.3337,0.3665,0.5484,0.4524,0.3831,0.2354,0.6130,0.4091,0.4801,0.4775
Bosnia,Europe,0.5894,0.5159,0.6096,0.8516,0.5446,0.6667,0.4309,0.9119,0.5920,0.6906,0.6155